"City","Country","Continent"
"Raleigh","United States","America"
"Columbus","United States","America"
"Madison","United States","America"
"Austin","United States","America"
"Charlotte","United States","America"
"Oklahoma City","United States","America"
"Richmond","United States","America"
"Dallas","United States","America"
"Buffalo","United States","America"
"Seattle","United States","America"
"San Diego","United States","America"
"San Jose","United States","America"
"Victoria","Canada","America"
"Kansas City","United States","America"
"San Antonio","United States","America"
"Jacksonville","United States","America"
"Quebec City","Canada","America"
"Houston","United States","America"
"Calgary","Canada","America"
"Cincinnati","United States","America"
"Portland","United States","America"
"Orlando","United States","America"
"Ottawa","Canada","America"
"Spokane","United States","America"
"Boston","United States","America"
"Boise","United States","America"
"Saint Louis","United States","America"
"Cleveland","United States","America"
"Vancouver","Canada","America"
"Tampa","United States","America"
"Albuquerque","United States","America"
"Indianapolis","United States","America"
"Pittsburgh","United States","America"
"Nashville","United States","America"
"Anchorage","United States","America"
"Minneapolis","United States","America"
"Edmonton","Canada","America"
"Salt Lake City","United States","America"
"Halifax","Canada","America"
"Denver","United States","America"
"Baltimore","United States","America"
"Atlanta","United States","America"
"Reno","United States","America"
"Sacramento","United States","America"
"Tucson","United States","America"
"Milwaukee","United States","America"
"Mississauga","Canada","America"
"Washington","United States","America"
"Oakland","United States","America"
"Queretaro","Mexico","America"
"Honolulu","United States","America"
"Phoenix","United States","America"
"Montreal","Canada","America"
"San Francisco","United States","America"
"Toronto","Canada","America"
"Kelowna","Canada","America"
"Las Vegas","United States","America"
"Chicago","United States","America"
"Miami","United States","America"
"Philadelphia","United States","America"
"Regina","Canada","America"
"Winnipeg","Canada","America"
"Los Angeles","United States","America"
"Hamilton","Canada","America"
"Brasilia","Brazil","America"
"New York","United States","America"
"Curitiba","Brazil","America"
"Detroit","United States","America"
"San Juan","Puerto Rico","America"
"Campinas","Brazil","America"
"Medellin","Colombia","America"
"Guadalajara","Mexico","America"
"Monterrey","Mexico","America"
"Florianopolis","Brazil","America"
"Montevideo","Uruguay","America"
"San Jose","Costa Rica","America"
"Porto Alegre","Brazil","America"
"Quito","Ecuador","America"
"Panama City","Panama","America"
"Belo Horizonte","Brazil","America"
"Santiago","Chile","America"
"Guatemala City","Guatemala","America"
"Buenos Aires","Argentina","America"
"Mexico City","Mexico","America"
"Bogota","Colombia","America"
"Sao Paulo","Brazil","America"
"Lima","Peru","America"
"Caracas","Venezuela","America"
"Rio de Janeiro","Brazil","America"
